,Row,Col,Sym,Diag
32,"(0.45086967267728517, 0.44585877358765347)","(0.33305676519307714, 0.3322540216195192)","(0.44638546547038727, 0.44225403324519785)","(0.3872067347360739, 0.385951334983013)"
33,"(0.37705589058308586, 0.3721654103084806)","(0.3394218399542118, 0.3391940167224273)","(0.37344105714978526, 0.36892623537955216)","(0.3476423460222875, 0.3468121307554822)"
34,"(0.4297391227006221, 0.42589452870464495)","(0.3048580666803412, 0.30380150768362324)","(0.4232979553845593, 0.4169224669619581)","(0.4260073742214483, 0.424268179400176)"
35,"(0.37539728874380685, 0.3713954830036431)","(0.26591742318774947, 0.2650828393659088)","(0.3701818084050106, 0.36577384622091813)","(0.37474596790730474, 0.37370330019213976)"
36,"(0.40610369518930123, 0.3995308733581804)","(0.4071544480774574, 0.40532647539467004)","(0.39523356430908074, 0.38664916935600524)","(0.403437157731807, 0.40100159927461104)"
37,"(0.359961434716485, 0.34059869006335786)","(0.3800142592993422, 0.37938081048117356)","(0.359961434716485, 0.33184502270807603)","(0.33400538379536526, 0.33347712155106335)"
38,"(0.3743336748533065, 0.3728311901294996)","(0.3027797769174748, 0.3017356620961881)","(0.36767682660634404, 0.36656494699196407)","(0.3247332640156825, 0.3200706644819613)"
39,"(0.4699314860235566, 0.46405686266097423)","(0.47520892744320475, 0.4739614388492658)","(0.4678265152409208, 0.4626251953080024)","(0.3023091579865401, 0.29965763027512227)"
40,"(0.3573330104716722, 0.3548239680789922)","(0.31515752612846093, 0.3139402108710778)","(0.34104446498583363, 0.33719128156667955)","(0.30146217199750214, 0.3006402636882457)"
41,"(0.3267957606087436, 0.32334327813862584)","(0.33661847883200946, 0.33607413538269304)","(0.3223691360078087, 0.3195494553708944)","(0.32939961808809703, 0.3281759657651822)"
42,"(0.46456571318439466, 0.4574521857224567)","(0.442617571284058, 0.4423035840079331)","(0.4616413478391159, 0.45160474328269185)","(0.3383575669944885, 0.3358968059696396)"
43,"(0.42774389313244354, 0.41948338011315967)","(0.33259733700923144, 0.3309902094602015)","(0.42444568154965023, 0.41291067925634306)","(0.3674948996335461, 0.36639520156848837)"
44,"(0.40921089952231415, 0.4071583969526543)","(0.32551577989767566, 0.32495287221945246)","(0.4027444810884455, 0.39763634735519116)","(0.3866894561723999, 0.37079172924299586)"
45,"(0.4510300282986771, 0.4439125598325159)","(0.4193023262386474, 0.4177949142925592)","(0.43475295365533173, 0.42892349696547927)","(0.39595411166722627, 0.38185840107495433)"
46,"(0.3827927935641843, 0.3788794082426703)","(0.319781640050527, 0.3188068345816709)","(0.37671189975877917, 0.37151241877873986)","(0.3864931434279093, 0.3850524665768201)"
47,"(0.44559600946007816, 0.4421318203309783)","(0.37122377211896096, 0.3707213405469475)","(0.4404886639295238, 0.43730291752366524)","(0.44374635250913763, 0.43853556737175736)"
48,"(0.3289120816996759, 0.3276246712660996)","(0.3415791418754973, 0.3398739921262178)","(0.3177082124712055, 0.3082203540747812)","(0.3212035355376788, 0.32107489150673185)"
49,"(0.34151668410720126, 0.33914687102076646)","(0.300883202935723, 0.3004754619194482)","(0.33951546661511023, 0.3367379382260496)","(0.3449906082478522, 0.34168312932173234)"
50,"(0.37988217786206124, 0.3740859303359416)","(0.32730888820424, 0.3267515931560354)","(0.3686361818585536, 0.3646846219542532)","(0.3275704064380761, 0.32475821574462654)"
51,"(0.29884921643717177, 0.2965009004519211)","(0.30425388819678145, 0.3039150910074182)","(0.2949809963181774, 0.294246820842203)","(0.2807300907462055, 0.27948247074810756)"
52,"(0.38819684694483425, 0.38191939974529876)","(0.29351180387740583, 0.29279116016734164)","(0.3725007097652222, 0.36870041072570814)","(0.3855668778978235, 0.378762260113467)"
53,"(0.39423402214947956, 0.3888033570587549)","(0.31098656183931506, 0.31045046040831226)","(0.3853214284198837, 0.38383925877513503)","(0.35372114558603585, 0.35148919944477053)"
54,"(0.34993097267423967, 0.3382117431923093)","(0.3179898867108637, 0.31732991927962506)","(0.3461853484079094, 0.3292914968173829)","(0.35052884876119816, 0.3437694984498731)"
55,"(0.39581272842736703, 0.39264191580547747)","(0.36552950990488586, 0.364612990025325)","(0.3884811090399728, 0.38653589937586597)","(0.407695751978543, 0.4065928829667004)"
56,"(0.38892660415019975, 0.3873946816647069)","(0.2934416291911881, 0.29047715912825456)","(0.3790679831569127, 0.37781640115227366)","(0.3891273280599613, 0.3887661019786617)"
57,"(0.36610564699767345, 0.36113048327840624)","(0.28482559259896667, 0.28424945553101333)","(0.3556848863553048, 0.35023957689946594)","(0.3619819249962931, 0.35192014821662904)"
58,"(0.42731872197076715, 0.42637019267082465)","(0.28861770423671607, 0.28770978120561264)","(0.4221002577883354, 0.4181499885650538)","(0.43021047986908767, 0.4282804489587567)"
59,"(0.3965349086052491, 0.3949417146744705)","(0.24361866142345234, 0.241811786511)","(0.3859713523746764, 0.38436880116450345)","(0.3877710367155621, 0.3856461515944324)"
60,"(0.3383790466108275, 0.3370569309103171)","(0.3567866495196912, 0.35586606879465854)","(0.3345461397843542, 0.33139382700768816)","(0.32771051493216075, 0.32614128993271174)"
61,"(0.36290100039299833, 0.35789828384339173)","(0.250428978129125, 0.24925480331097138)","(0.3433678210665311, 0.34099945211792926)","(0.3445513220180756, 0.3435707974927302)"
62,"(0.3902626841201956, 0.38416185624424937)","(0.2860847933399733, 0.28542580351132174)","(0.3770156700643448, 0.37237270065087125)","(0.36281780981734457, 0.3578892106844418)"
