,Row,Col,Sym,Diag
39,"(0.39411310334350447, 0.3883547623748431)","(0.3718630912087375, 0.3703610374457259)","(0.387964141230119, 0.38057784777510195)","(0.3853600235508473, 0.38342074808413246)"
40,"(0.3736371356259174, 0.3707055928075593)","(0.3256405160473459, 0.32422270992506097)","(0.36732218640715997, 0.36194254318646557)","(0.3850624253900198, 0.38440323291141576)"
41,"(0.3560394348520808, 0.3515187805827127)","(0.3672204279936139, 0.36624552056857396)","(0.3485321866696771, 0.3462837964533566)","(0.33962499601752216, 0.33817508389763357)"
42,"(0.35324443938640615, 0.3498379227331473)","(0.27701204245508404, 0.27541846083866905)","(0.3268300825804271, 0.3236124474145825)","(0.34109950406101086, 0.3398625114897084)"
43,"(0.322203068284039, 0.319275902737411)","(0.298594659642896, 0.29571640327712334)","(0.3161841205875454, 0.3111203216197591)","(0.2696111008820189, 0.26572212096670184)"
44,"(0.42515792533138264, 0.42418567924507133)","(0.380336864675629, 0.37915275078953925)","(0.4159979228167425, 0.41395680085218267)","(0.39582658686357586, 0.3893279338349747)"
45,"(0.3241168347486273, 0.3196189249984487)","(0.3131787444615778, 0.3126220906345534)","(0.3155887365840375, 0.3113010731314766)","(0.28196554770513604, 0.28093846748923185)"
46,"(0.4058776010012257, 0.40263748226014306)","(0.32727450674815484, 0.32527184829182754)","(0.3934648622850564, 0.39089898481380614)","(0.37855892122484525, 0.35972528091266387)"
47,"(0.4026531212213502, 0.40110547514574624)","(0.20392309620321758, 0.200339124572538)","(0.3942004875469064, 0.3927780576358558)","(0.40202364046873296, 0.3980616585532356)"
48,"(0.5080079260822595, 0.5019694501085066)","(0.3611142058441976, 0.3597119481929253)","(0.5003501525373437, 0.49429334921420165)","(0.4063327040895377, 0.4044323641599069)"
49,"(0.4435018020319865, 0.43829501431162887)","(0.38779211456277485, 0.38543534219415376)","(0.4372808474094262, 0.43176215436706045)","(0.4303636586377555, 0.4276393125477402)"
50,"(0.31884534282092847, 0.3023703771576264)","(0.2980607462607341, 0.29717360678784166)","(0.3139382702635176, 0.2974993387072229)","(0.3210567353069572, 0.3106142291451697)"
51,"(0.34691656181889197, 0.34061136287805804)","(0.36024035817381517, 0.35919629266026487)","(0.34450281202308397, 0.33568112929231664)","(0.3387915045245381, 0.33245738161517113)"
52,"(0.3983404540113852, 0.39438950161956166)","(0.3360401217350646, 0.33349757216854914)","(0.39107919841756744, 0.38612062375236933)","(0.39544777899209393, 0.3934461377857604)"
53,"(0.3356650106492829, 0.33231510099808137)","(0.34888409428508516, 0.3472475611048089)","(0.3356650106492829, 0.3264133275325882)","(0.268122860615039, 0.26521122128193025)"
54,"(0.38433920670514443, 0.38039447650681135)","(0.2794176995682218, 0.27721258847425945)","(0.3767584139414524, 0.373091872298408)","(0.36200066269988695, 0.3542269115877466)"
55,"(0.37078996060368885, 0.3673747230997989)","(0.33125642713246106, 0.3296415173856244)","(0.36370646721753086, 0.36042302904208)","(0.3456868139212609, 0.34402356157913117)"
56,"(0.3817700358629553, 0.3805902302748968)","(0.30244038582009625, 0.3013859672585979)","(0.37800155373870625, 0.3762412501580603)","(0.3884756205591152, 0.3879755480196132)"
57,"(0.35298648854887005, 0.35095363219782727)","(0.3471321433313316, 0.34388077908815506)","(0.3292340533698228, 0.32408624328201896)","(0.33425623319364817, 0.3328141863439998)"
58,"(0.3723255455417517, 0.36776101737795086)","(0.27905738226404087, 0.2784006349466337)","(0.36553347094357524, 0.36033067876803904)","(0.3063848767314502, 0.30224416136047394)"
59,"(0.3399468713228003, 0.33909239009738346)","(0.2845215415268578, 0.2826924861836698)","(0.3277830028432982, 0.32590432584823603)","(0.34148208471305264, 0.34075713332106633)"
60,"(0.368881167991306, 0.3680010715767359)","(0.29932880993142275, 0.2981534085480474)","(0.3600881130985948, 0.356516568510843)","(0.3256253325933157, 0.3226028869525489)"
61,"(0.4528356533920368, 0.4510888657028327)","(0.32549272531948636, 0.32508890133311985)","(0.44679088538835254, 0.4434905116836684)","(0.4509048979649901, 0.44936490732824164)"
62,"(0.40455009068392933, 0.3731143902373031)","(0.4195728592143083, 0.41818306889621404)","(0.40455009068392933, 0.3685311907459884)","(0.3684861605034857, 0.36786200065798685)"
63,"(0.4208358374553699, 0.41277473516076846)","(0.41377536611930843, 0.4125142007448438)","(0.40511207149895045, 0.3996126818004513)","(0.33021228026699023, 0.32974469693701963)"
64,"(0.3701282025606444, 0.365745356177844)","(0.24533541009799453, 0.24141095115016475)","(0.36088676961122446, 0.3595433512050997)","(0.37208198080058086, 0.3713380261883476)"
65,"(0.4105376601114126, 0.40249698829826164)","(0.26725622210519195, 0.2658630536341767)","(0.40691146884622453, 0.39825453186278503)","(0.4156855928006581, 0.41317422922161035)"
66,"(0.37038130604602626, 0.3680280574091028)","(0.30424137697216425, 0.30358548926846973)","(0.36378143731980916, 0.3625166805732267)","(0.3678899121146687, 0.3658766701106636)"
67,"(0.3899305700847753, 0.38665646964070244)","(0.3786757404920814, 0.3768824927354456)","(0.3802504032260352, 0.3765619858725414)","(0.3526821696116891, 0.35105509358797093)"
68,"(0.42480351366027724, 0.4216513581297432)","(0.3979547687189554, 0.39620444573824043)","(0.4193212747557238, 0.4157379649918299)","(0.4259795946708771, 0.4249370277217066)"
69,"(0.374536532147966, 0.3713188484380886)","(0.3775247195227851, 0.3764638412867899)","(0.36138168537216975, 0.3563150534401496)","(0.3640486010644377, 0.3621526303988267)"
70,"(0.3485648288021528, 0.3454380869458221)","(0.2820561283272619, 0.28170215341538263)","(0.3438064998650302, 0.3409596595667126)","(0.3554579072098283, 0.3534515764071883)"
71,"(0.3688214599207865, 0.3562776791396096)","(0.4000217551328825, 0.39697027465086243)","(0.36362274640980075, 0.3499404087778195)","(0.3620620147285163, 0.3549806684104035)"
72,"(0.33985032472171106, 0.3324425195208506)","(0.3348929622402609, 0.333911601316608)","(0.33408003426788735, 0.325955544277311)","(0.32689199402394886, 0.32653937486814594)"
73,"(0.3861668645954568, 0.37861038820180837)","(0.3540838864907152, 0.3524401258160441)","(0.3793907173753497, 0.37236971209346703)","(0.367391435924205, 0.36627525076204914)"
74,"(0.36185323398591185, 0.35609778746580933)","(0.32986741187003454, 0.32722649085775257)","(0.35727469372375764, 0.35228436066517566)","(0.3604105985545065, 0.35988592805992853)"
75,"(0.3818817711658147, 0.37871886253252496)","(0.37025958708738604, 0.36833783178339397)","(0.36087620740803383, 0.35876276277267183)","(0.31635824418009906, 0.2989402614442713)"
76,"(0.33546693571810493, 0.33308521506868605)","(0.301032996523099, 0.3006635336458875)","(0.3299211534797024, 0.3270263432868208)","(0.3318574909099451, 0.33142643207894706)"
77,"(0.5094535571302934, 0.499785716934777)","(0.27182184106500595, 0.27110407206894427)","(0.49930850898410917, 0.48776245756965)","(0.5093470922849634, 0.5063605300648468)"
78,"(0.3125161395365532, 0.29303251105992245)","(0.3229057226421602, 0.3211054929674215)","(0.3125161395365532, 0.28959777476421855)","(0.2717948723400937, 0.26994625182949966)"
