,Row,Col,Sym,Diag
37,"(0.38630770467461284, 0.37856535776724787)","(0.32948642518347704, 0.3276315398379839)","(0.3843676105592928, 0.3749983926469379)","(0.38863303998019305, 0.3850217088090389)"
38,"(0.33213071339184486, 0.326855177474489)","(0.33876087813913314, 0.3363198252274293)","(0.3273559621034833, 0.3219325658113745)","(0.33270627489785287, 0.3311679584960028)"
39,"(0.3820625255091856, 0.37674201526412066)","(0.3575125111074938, 0.35588291846684594)","(0.3752398175048869, 0.3680725321717766)","(0.3819656519686986, 0.37960947611651613)"
40,"(0.3730457832295673, 0.3712627758338951)","(0.2797907191548147, 0.27870554229027733)","(0.36033337969947177, 0.3582353165192579)","(0.3744795516780367, 0.3734279528782274)"
41,"(0.417560756267187, 0.4150609567678588)","(0.36348859156707825, 0.3624694156812376)","(0.41191182420225436, 0.4066710474072738)","(0.41513272463121575, 0.41463049806664093)"
42,"(0.3676785143059643, 0.36429021473613654)","(0.31270760535237274, 0.3121346008431014)","(0.365547025479219, 0.36209903434519486)","(0.371694399966527, 0.3693027906694804)"
43,"(0.4593995912059218, 0.4557845132472188)","(0.2975836665084082, 0.29663514143770664)","(0.44776110590693596, 0.4452928557686837)","(0.45932265523628946, 0.45823535530953574)"
44,"(0.4562432041045631, 0.45506621541774295)","(0.3462943320571026, 0.34374282391475275)","(0.44668741028837633, 0.44459427487010994)","(0.3754002040778115, 0.35661229238558234)"
45,"(0.36367170557396145, 0.36295490180041867)","(0.30325559120097156, 0.30227416773056714)","(0.3560140787685413, 0.35442322409178073)","(0.3383240657528236, 0.32957203272686647)"
46,"(0.3711435812746562, 0.3681111248317078)","(0.2981737764351847, 0.2978972469901039)","(0.3657690736547864, 0.36147579927536555)","(0.36890827016973515, 0.3680173700025667)"
47,"(0.330779930307892, 0.3279011505797894)","(0.3407710168880248, 0.34010379392128987)","(0.330779930307892, 0.3252764094490298)","(0.31313986030867946, 0.3115130059926499)"
48,"(0.37255829852389377, 0.3673379834615803)","(0.2780327738620605, 0.27756527680348864)","(0.36770557189516084, 0.3622834290694813)","(0.36963367925939383, 0.3668623937152824)"
49,"(0.41101118187067454, 0.4060497390872708)","(0.3164021157818354, 0.31592285383101737)","(0.4039634778989488, 0.39962619265226984)","(0.3539186046315922, 0.35076956834345696)"
50,"(0.3849436555031692, 0.3804444904026759)","(0.3229851447325144, 0.32134228785552477)","(0.3763026142964876, 0.3720978801562498)","(0.3961041969525667, 0.3937839481092938)"
51,"(0.42663911523289766, 0.4246922374243556)","(0.33521718549560786, 0.3337350168972858)","(0.42114691537731996, 0.4168399372137107)","(0.34966190365987493, 0.3485081875277578)"
52,"(0.35219898695436624, 0.35129655975673846)","(0.30889535900556353, 0.30704249099050007)","(0.3474823852140705, 0.3428606452331826)","(0.34910037498590574, 0.3451358573359179)"
53,"(0.38166228872486974, 0.37978869995718245)","(0.2872681446286396, 0.2855182366036999)","(0.3725236809905379, 0.37087963564679816)","(0.3765306396976633, 0.3671714376460228)"
54,"(0.3430646806859484, 0.3380168390257099)","(0.2826549014082729, 0.2804905949954333)","(0.3340948684775117, 0.33045604932529093)","(0.34325419131494705, 0.3391588975210544)"
55,"(0.3970045736411858, 0.39215735990004785)","(0.29930329372623654, 0.2967517200587071)","(0.38185037681940726, 0.3770379935718179)","(0.40879510287496135, 0.40679739594278436)"
56,"(0.41462699277659176, 0.4097639573504509)","(0.35133390914794616, 0.35022058140080126)","(0.40459566220064624, 0.40069111062922635)","(0.4139261254050337, 0.41035211607368216)"
57,"(0.41496900035922946, 0.4100888922573406)","(0.33492088289781474, 0.33373101104062286)","(0.4058189253737068, 0.40068623814042525)","(0.41888724563157653, 0.416914804763482)"
58,"(0.36898998577602493, 0.3663253762821387)","(0.35723782143054716, 0.35539652086961104)","(0.36455051932368343, 0.35818547574177395)","(0.33282352838513507, 0.3309875200839515)"
59,"(0.3413652650597212, 0.3384336317617145)","(0.3404010363927821, 0.3400256789404188)","(0.33931014428621276, 0.3367249351315881)","(0.32811788775227735, 0.32711242238819277)"
60,"(0.395253370947638, 0.37717646470462796)","(0.22894691636873155, 0.22755820446243546)","(0.3883350390062539, 0.370774848246743)","(0.39070857550067595, 0.3835534419561851)"
61,"(0.3583900751123156, 0.3509757555423205)","(0.30091701232076984, 0.30027929995272795)","(0.35337245408066476, 0.34504855724643735)","(0.3578845710715295, 0.35446018823598857)"
62,"(0.3224179688495594, 0.31995018456210644)","(0.28870055486782376, 0.28701902666224643)","(0.3156522142429242, 0.3134589982750903)","(0.3239849579340681, 0.3229946755868489)"
63,"(0.3939950451777757, 0.3889052763936389)","(0.2641829990744523, 0.26309055170144047)","(0.3839773997678858, 0.37793189783905634)","(0.39039603813294443, 0.3889313412156459)"
64,"(0.4655229566435706, 0.4608557347935698)","(0.3155009828251214, 0.31231208921681863)","(0.4574778038259869, 0.4528893837299971)","(0.468219323801664, 0.466880192345978)"
65,"(0.40200421649835205, 0.4005280796896885)","(0.41862579434778635, 0.4171374960984392)","(0.3920474520062823, 0.3867615655652933)","(0.36353725415793703, 0.3534760439238769)"
66,"(0.45841072010127193, 0.45565691264839725)","(0.33989233258280427, 0.3385290391187419)","(0.45179388889855576, 0.4501928502181841)","(0.4371489749476687, 0.4147858313296988)"
67,"(0.3844085305846142, 0.38096670103759145)","(0.39298421423615204, 0.3919545730321624)","(0.3811449588353716, 0.37710145096609016)","(0.3568324410743646, 0.3558689564097551)"
68,"(0.36627629097233905, 0.3635452997695898)","(0.2634186710574794, 0.2622910466152507)","(0.36158887631795844, 0.3591248421723724)","(0.3322485680251762, 0.32035665698345955)"
69,"(0.39134481505562246, 0.38960241781746185)","(0.3310206902756342, 0.32986952676258874)","(0.38685003244432026, 0.3862168413152377)","(0.39038050164692295, 0.3901178070618409)"
70,"(0.34116961518148825, 0.3314593776968503)","(0.35657027113769646, 0.35526356582252316)","(0.34116961518148825, 0.32670011864237225)","(0.33473659671887857, 0.3341155691803851)"
71,"(0.37316070169464766, 0.36986315850166984)","(0.3930149649456107, 0.3914883383382983)","(0.370801572130676, 0.36278682694904485)","(0.372842414772359, 0.3711511818769074)"
72,"(0.45999821833022037, 0.45648336557279245)","(0.397363488559901, 0.39654018669066815)","(0.44328919142312995, 0.43945770713121013)","(0.44651550270286244, 0.4458721483446391)"
73,"(0.44124131536181066, 0.4398539247511908)","(0.32114589534729787, 0.3202013270836467)","(0.4351219852795588, 0.4318820413361536)","(0.45027713854735196, 0.44949516218346386)"
74,"(0.4746811436635443, 0.4640018656230268)","(0.33041313737821987, 0.32761901356832657)","(0.46475719760960654, 0.4502032489681286)","(0.46960085265843343, 0.4617575453350469)"
75,"(0.462252802729911, 0.4566875189881965)","(0.3178948571896183, 0.31694017764650384)","(0.4551753250986159, 0.4493920101710661)","(0.45732573047566916, 0.45463994042608286)"
76,"(0.3412069166940279, 0.33736570023263157)","(0.28338957669023823, 0.2819064522855689)","(0.33328952750142593, 0.3290256750235402)","(0.3091632559363797, 0.30347050754335037)"
77,"(0.4572959473137379, 0.4530044259405247)","(0.3546105119031583, 0.35209090188079895)","(0.45459617573617683, 0.4498373525508661)","(0.342867518224366, 0.3359003615749678)"
78,"(0.3670191552464299, 0.36414325408237314)","(0.380037806878749, 0.3794846563820079)","(0.3644505104425727, 0.35375290835462125)","(0.3225372052614879, 0.3195721826612403)"
79,"(0.4696951555768303, 0.46614717290818786)","(0.357094661099708, 0.3562180024623005)","(0.46452998219534725, 0.4608239816432782)","(0.4416399460451764, 0.43358831444469953)"
80,"(0.3638358286439958, 0.3615759395719169)","(0.34900025444017624, 0.3465787550101793)","(0.35607752049510555, 0.35393767822925937)","(0.3637123569313714, 0.3610242804163592)"
81,"(0.34306403490140125, 0.3406699381494225)","(0.29739939468783605, 0.2937884609548981)","(0.32392601569444035, 0.32106851031166417)","(0.3384483963389291, 0.337825502843496)"
82,"(0.37396181969064657, 0.3723826544051977)","(0.37920604222697996, 0.3777571037784657)","(0.3695360334055179, 0.36714612844850925)","(0.3718476317839404, 0.37042080956712464)"
83,"(0.3814224633296055, 0.3744778557606103)","(0.3215774371237592, 0.3210893400786595)","(0.37620312041691817, 0.3686940365610364)","(0.3816637790048897, 0.3784191566998412)"
84,"(0.307020291410103, 0.30320017987212)","(0.2735137049050195, 0.27262707487365756)","(0.3045589854637937, 0.3004211322922822)","(0.31121267067586644, 0.3098677946563138)"
85,"(0.394609985939125, 0.3930698980377595)","(0.23971870162648945, 0.2383922396017375)","(0.38414308329778446, 0.3829779191405641)","(0.388375304603059, 0.38730544886493373)"
86,"(0.4208820899452257, 0.4125865214719786)","(0.3117497081692012, 0.30890440926761786)","(0.4146955720152121, 0.40351131591217737)","(0.349818300864952, 0.3484720559005183)"
