,Row,Col,Sym,Diag
74,"(0.15296717420269978, 0.14846166174066244)","(0.08491710928953589, 0.08456455791163475)","(0.15151763199630452, 0.14704416098805084)","(0.1574755862671705, 0.15453109589444372)"
75,"(0.11677441339563432, 0.11611435992300279)","(0.11796632124579687, 0.11780904571946982)","(0.11368804063341187, 0.11336239419041294)","(0.09161874691326244, 0.09114510127341827)"
76,"(0.18104216683737162, 0.1791043842470842)","(0.1102229857455983, 0.10986334759534377)","(0.17861680180612016, 0.17722093915442516)","(0.1816416138588678, 0.18151389909072854)"
77,"(0.14187769295750996, 0.14070529743580595)","(0.1149430564431062, 0.11471084598797365)","(0.1401426975486113, 0.138743779773281)","(0.1421012358959154, 0.1415854372562885)"
78,"(0.12345726978484617, 0.12243217034296194)","(0.08385187148988749, 0.08372212028095871)","(0.12140058349478411, 0.11979782630928981)","(0.12319680225103213, 0.12243898930860844)"
79,"(0.13251563651708353, 0.13181554329104472)","(0.10450423598379988, 0.10389814723982826)","(0.12704938262987941, 0.12597724019981216)","(0.1301022889720771, 0.12985759165624056)"
80,"(0.1400444854766858, 0.139582962833264)","(0.0994653537679262, 0.09910370474864827)","(0.13343166136265694, 0.13258104249873714)","(0.1375048641553288, 0.13706149219934807)"
81,"(0.13149718429798696, 0.12723175076153348)","(0.14549851563920335, 0.14442429555420033)","(0.13149718429798696, 0.12575543205945983)","(0.10943319962324949, 0.10796323319147949)"
82,"(0.1421427484213298, 0.14092489183093315)","(0.07746833836073364, 0.07683268159149659)","(0.1395513030551665, 0.13796347603857584)","(0.13167984672179323, 0.12940034152584026)"
83,"(0.127183250760865, 0.12650820164365473)","(0.11311830037498627, 0.11273329687784306)","(0.12369292356867445, 0.12324558796272733)","(0.10636192783674048, 0.10533588787061682)"
84,"(0.13046488517371135, 0.12879154307429808)","(0.09286024344612676, 0.09207034102755485)","(0.12939804102455355, 0.12724594844155823)","(0.13349863006839569, 0.13241540753779146)"
